"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P784S4A2","P784S4A3","P784S4A4","LLAVEHOG","FEX_C"
6014534,1,1,1,"AYUDA HUMANITARIA",1,1150000,"60145341",247.271045597995
6014536,1,1,1,"AYUDA HUMANITARIA",1,900000,"60145361",351.224758959009
6014546,1,1,1,"AYUDA HUMANITARIA",2,636000,"60145461",270.448143583042
6014570,1,1,1,"DESPLAZADOS",4,1150000,"60145701",256.567496128667
6014576,1,1,1,"AYUDA HUMANITARIA",1,900000,"60145761",340.5868752849
6014585,1,1,1,"DESPLAZADOS",4,1600000,"60145851",299.169568427691
6014589,1,1,1,"DESPLAZADOS",1,550000,"60145891",245.432867410738
6014602,1,1,1,"VICTIMA",1,98,"60146021",937.615427481742
6014624,1,1,1,"DESPLAZAMIENTO",1,200000,"60146241",262.307847475828
6014628,1,1,1,"DESPLAZAMIENTO",3,915000,"60146281",301.540000740354
6014634,1,1,1,"AYUDA HUMANITARIA",1,400000,"60146341",176.233218827038
6014645,1,1,1,"AYUDA HUMANITARIA",1,900000,"60146451",166.927035264278
6014647,1,1,1,"DRSPLAZADOS",1,600000,"60146471",243.292499061908
6014653,1,1,1,"AYUDA HUMANITARIA",1,1800000,"60146531",341.928308428338
6014663,1,1,1,"AYUDA HUMANITARIA",2,1566000,"60146631",181.687899801483
6014668,1,1,1,"ERRADICACION DE CULTIVOS",2,2000000,"60146681",230.116191080383
6014671,1,1,1,"DESPLAZADOS",2,860000,"60146711",387.216921261884
6014672,1,1,1,"ERRADICACION DE CULTIVOS",1,2000000,"60146721",230.116191080383
6014684,1,1,1,"AYUDA HUMANITARIA",1,1500000,"60146841",173.957830937261
6014690,1,1,1,"AYUDA HUMANITARIA",1,52000,"60146901",218.549620753346
6014696,1,1,1,"AYUDA HUMANITARIA",1,1000000,"60146961",235.63367520205
6014698,1,1,1,"DESPLAZAMIENTO",7,1300000,"60146981",1711.85974329958
6014704,1,1,1,"AYUDA HUMANITARIA",1,990000,"60147041",368.152145706091
6014706,1,1,1,"AYUDA HUMANITARIA",1,750000,"60147061",257.871419903029
6014709,1,1,1,"AYUDA HUMANITARIA",1,530000,"60147091",333.788012321124
6014710,1,1,1,"AYUDA HUMANITARIA",1,500000,"60147101",336.031289379554
6014712,1,1,1,"AYUDA HUMANITARIA",1,400000,"60147121",340.5868752849
6014721,1,1,1,"AYUDA HUMANITARIA",1,300000,"60147211",205.044559722754
6014732,1,1,1,"AYUDA HUMANITARIA",2,400000,"60147321",181.687899801483
6014754,1,1,1,"AYUDA HUMANITARIA",1,560000,"60147541",539.632354121725
6014756,1,1,1,"DESPLAZAMIENTO",1,800000,"60147561",2293.44790305384
6014757,1,1,1,"DESPLAZAMIENTO",1,700000,"60147571",780.004232103634
6014759,1,1,1,"DESPLAZADOS",1,600000,"60147591",1046.89307361267
6014763,1,1,1,"DESPLAZADOS",3,2500000,"60147631",305.066587476475
6015452,1,1,1,"AMBITO FAMILIAR",1,1360000,"60154521",4239.29377320051
6015475,1,1,1,"CANASTA RURAL",1,120000,"60154751",32.9954250342786
6015967,1,1,1,"SER PILO PAGA",1,800000,"60159671",1895.58478179387
6015967,2,1,2,"JOVENES EN ACCION",1,2400000,"60159671",1895.58478179387
