"DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","P8692S3A1","LLAVEHOG","FEX_C"
6002643,1,1,1,1,"60026431",764.290449609497
6002643,2,1,2,2,"60026431",764.290449609497
6002704,1,1,1,1,"60027041",220.206609750369
6002704,2,1,2,2,"60027041",220.206609750369
6002736,1,1,1,1,"60027361",281.63584851697
6002736,2,1,2,2,"60027361",281.63584851697
6002793,1,1,1,1,"60027931",305.122771239316
6002793,2,1,2,2,"60027931",305.122771239316
6002796,1,1,1,2,"60027961",275.332476911737
6002796,2,1,2,1,"60027961",275.332476911737
6002799,1,1,1,1,"60027991",732.021742689662
6002799,2,1,2,2,"60027991",732.021742689662
6002800,1,1,1,1,"60028001",297.543311334821
6002800,2,1,2,2,"60028001",297.543311334821
6002801,1,1,1,1,"60028011",559.775093535254
6002801,2,1,2,2,"60028011",559.775093535254
6002818,1,1,1,1,"60028181",305.122771239316
6002818,2,1,2,2,"60028181",305.122771239316
6002820,1,1,1,1,"60028201",305.122771239316
6002820,2,1,2,2,"60028201",305.122771239316
6002828,1,1,1,1,"60028281",1207.29423507724
6002828,2,1,2,2,"60028281",1207.29423507724
6002877,1,1,1,1,"60028771",283.274054057441
6002877,2,1,2,2,"60028771",283.274054057441
6002897,1,1,1,1,"60028971",815.294585454572
6002897,2,1,2,2,"60028971",815.294585454572
6002923,1,1,1,1,"60029231",4379.69589744726
6002923,2,1,2,2,"60029231",4379.69589744726
6002940,1,1,1,2,"60029401",576.074781916388
6002940,2,1,2,3,"60029401",576.074781916388
6003040,1,1,1,1,"60030401",748.012591103928
6003040,2,1,2,2,"60030401",748.012591103928
6003044,1,1,1,1,"60030441",584.994480922424
6003044,2,1,2,2,"60030441",584.994480922424
6003098,1,1,1,1,"60030981",2452.67439790063
6003098,2,1,2,2,"60030981",2452.67439790063
6003100,1,1,1,1,"60031001",2519.83277999715
6003100,2,1,2,2,"60031001",2519.83277999715
6003100,3,1,3,3,"60031001",2519.83277999715
6003100,4,1,4,4,"60031001",2519.83277999715
6003112,1,1,1,1,"60031121",2825.91436551383
6003112,2,1,2,2,"60031121",2825.91436551383
6003122,1,1,1,1,"60031221",2090.10329084383
6003122,2,1,2,2,"60031221",2090.10329084383
6003128,1,1,1,1,"60031281",2487.89801217182
6003128,2,1,2,2,"60031281",2487.89801217182
6003128,3,1,3,3,"60031281",2487.89801217182
6003170,1,1,1,1,"60031701",198.17735338081
6003170,2,1,2,2,"60031701",198.17735338081
6003256,1,1,1,1,"60032561",233.936549920896
6003256,2,1,2,2,"60032561",233.936549920896
6003260,1,1,1,1,"60032601",2026.83572724335
6003260,2,1,2,2,"60032601",2026.83572724335
6003285,1,1,1,1,"60032851",1813.57798032408
6003285,2,1,2,2,"60032851",1813.57798032408
6003353,1,1,1,1,"60033531",201.841614979769
6003353,2,1,2,2,"60033531",201.841614979769
6003376,1,1,1,1,"60033761",291.383173214096
6003376,2,1,2,2,"60033761",291.383173214096
6003384,1,1,1,1,"60033841",511.990806653266
6003384,2,1,2,2,"60033841",511.990806653266
6003386,1,1,1,1,"60033861",355.982505906805
6003386,2,1,2,2,"60033861",355.982505906805
6003403,1,1,1,1,"60034031",980.348280818021
6003403,2,1,2,2,"60034031",980.348280818021
6003411,1,1,1,1,"60034111",541.581721117071
6003411,2,1,2,2,"60034111",541.581721117071
6003412,1,1,1,1,"60034121",1107.54474198609
6003412,2,1,2,2,"60034121",1107.54474198609
6003425,1,1,1,1,"60034251",1231.10478924586
6003425,2,1,2,2,"60034251",1231.10478924586
6003506,1,1,1,1,"60035061",31.9789975459931
6003506,2,1,2,2,"60035061",31.9789975459931
6003529,1,1,1,1,"60035291",2490.32790426302
6003529,2,1,2,2,"60035291",2490.32790426302
6003539,1,1,1,1,"60035391",2402.03764321291
6003539,2,1,2,2,"60035391",2402.03764321291
6003584,1,1,1,1,"60035841",513.125449491523
6003584,2,1,2,2,"60035841",513.125449491523
6003716,1,1,1,1,"60037161",2238.42477946695
6003716,2,1,2,2,"60037161",2238.42477946695
6003726,1,1,1,1,"60037261",2701.25179471283
6003726,2,1,2,2,"60037261",2701.25179471283
6003791,5,1,5,6,"60037911",710.188713861321
6003791,1,1,1,1,"60037911",710.188713861321
6003791,2,1,2,2,"60037911",710.188713861321
6003791,3,1,3,4,"60037911",710.188713861321
6003791,4,1,4,5,"60037911",710.188713861321
6003801,1,1,1,1,"60038011",832.184622023807
6003801,2,1,2,2,"60038011",832.184622023807
6003814,1,1,1,1,"60038141",448.662931249616
6003814,2,1,2,2,"60038141",448.662931249616
6003814,3,1,3,3,"60038141",448.662931249616
6003814,4,1,4,4,"60038141",448.662931249616
6003814,5,1,5,5,"60038141",448.662931249616
6003814,6,1,6,6,"60038141",448.662931249616
6003814,7,1,7,7,"60038141",448.662931249616
6003873,1,1,1,1,"60038731",1605.25934005058
6003873,2,1,2,2,"60038731",1605.25934005058
6004031,1,1,1,1,"60040311",1827.92412418188
6004031,2,1,2,2,"60040311",1827.92412418188
6004032,1,1,1,1,"60040321",1667.35328242153
6004032,2,1,2,2,"60040321",1667.35328242153
6004040,1,1,1,1,"60040401",1493.93778710318
6004040,2,1,2,2,"60040401",1493.93778710318
6004048,1,1,1,1,"60040481",1160.95039538152
6004048,2,1,2,2,"60040481",1160.95039538152
6004063,1,1,1,1,"60040631",2372.42212713501
6004063,2,1,2,2,"60040631",2372.42212713501
6004081,1,1,1,1,"60040811",2632.13762021131
6004081,2,1,2,2,"60040811",2632.13762021131
